,co2_per_capita,cement_co2_per_capita,coal_co2_per_capita,gas_co2_per_capita,other_industry_co2,oil_co2_per_capita
30544,8.364,0.138,1.144,2.461,0.751,4.273
30545,8.839,0.137,1.391,2.685,0.787,4.265
30546,8.748,0.14,1.373,2.497,0.801,4.387
30547,9.015,0.133,1.925,2.12,0.732,4.503
30548,8.78,0.119,1.963,1.778,0.733,4.529
30549,9.055,0.14,2.158,1.831,0.789,4.516
30550,8.931,0.13,2.104,1.807,0.684,4.496
30551,8.625,0.163,1.593,1.957,0.716,4.501
30552,8.804,0.15,1.945,1.833,0.673,4.427
30553,8.046,0.136,1.468,1.733,0.76,4.214
30554,8.009,0.128,1.256,1.929,0.697,4.19
30555,7.821,0.121,1.263,1.741,0.71,4.201
30556,8.15,0.129,1.554,1.892,0.748,4.116
30557,7.918,0.132,1.351,1.881,0.635,4.166
30558,7.85,0.137,1.206,1.905,0.701,4.176
30559,7.801,0.135,1.191,1.809,0.699,4.22
30560,7.316,0.104,0.957,1.691,0.666,4.175
30561,7.519,0.094,0.984,1.795,0.607,4.29
30562,7.379,0.086,1.085,1.632,0.613,4.244
30563,7.437,0.083,1.158,1.662,0.659,4.217
30564,6.765,0.075,1.094,1.55,0.57,3.779
30565,6.69,0.072,1.204,1.305,0.517,3.871
30566,6.212,0.071,0.851,1.225,0.517,3.829
31586,8.304,0.0,7.723,0.137,1.834,0.427
31604,11.003,0.0,8.145,0.268,2.421,2.574
31612,11.468,0.094,8.114,0.608,2.274,2.638
31613,9.617,0.071,6.59,0.523,1.834,2.423
31614,8.115,0.042,5.372,0.479,1.32,2.214
31615,8.586,0.034,5.645,0.478,1.54,2.42
31616,9.101,0.042,6.082,0.535,1.614,2.432
31617,9.354,0.041,6.123,0.577,1.98,2.601
31618,10.597,0.061,7.036,0.646,2.494,2.839
31619,11.021,0.063,7.006,0.716,2.714,3.22
31620,9.302,0.056,5.541,0.68,2.201,3.013
31621,10.118,0.064,6.183,0.722,2.861,3.132
31622,11.202,0.069,6.96,0.769,3.227,3.387
31623,12.029,0.085,7.602,0.8,4.034,3.519
31625,12.924,0.069,8.377,0.933,4.328,3.522
31627,12.921,0.053,7.786,1.034,3.961,4.028
31628,12.242,0.081,7.063,1.046,3.961,4.033
31629,13.21,0.09,7.697,1.134,4.548,4.266
31630,13.532,0.098,7.533,1.251,4.841,4.626
31631,11.205,0.099,5.555,1.293,4.181,4.238
31632,12.814,0.105,6.332,1.518,4.988,4.622
31633,13.02,0.112,6.009,1.755,5.501,4.906
31634,12.454,0.112,5.25,1.844,5.355,5.001
31635,12.499,0.117,5.084,1.903,6.455,5.151
31636,11.757,0.118,4.31,1.96,5.721,5.16
31637,12.567,0.128,4.666,2.076,6.968,5.462
31638,12.965,0.135,4.772,2.15,7.042,5.654
31639,12.617,0.129,4.442,2.258,6.822,5.542
31640,12.029,0.13,3.776,2.348,6.161,5.57
31641,12.138,0.137,3.772,2.405,8.289,5.626
31642,12.184,0.128,3.711,2.519,8.582,5.631
31643,11.928,0.127,3.511,2.506,8.802,5.604
31644,12.158,0.131,3.57,2.63,9.169,5.676
31645,12.409,0.135,3.742,2.718,9.682,5.666
31646,12.814,0.141,3.913,2.862,10.709,5.752
31647,13.111,0.14,3.996,2.916,11.149,5.926
31648,13.528,0.144,4.069,3.092,12.029,6.074
31649,13.89,0.138,4.126,3.195,11.956,6.268
31650,14.213,0.145,3.997,3.363,12.396,6.541
31651,14.68,0.145,3.991,3.584,13.423,6.789
31652,15.584,0.141,3.955,3.673,13.13,7.636
31653,15.48,0.142,3.688,3.741,13.056,7.768
31656,15.785,0.15,3.786,3.746,14.377,7.982
31657,15.188,0.13,3.755,3.428,12.763,7.766
31662,15.427,0.136,4.243,3.352,12.616,7.596
31663,14.868,0.132,4.318,3.237,12.543,7.083
31664,14.051,0.12,4.134,3.018,9.389,6.671
31665,13.705,0.121,4.24,2.832,9.902,6.418
31666,14.195,0.128,4.498,2.974,10.562,6.505
31667,14.02,0.128,4.537,2.863,10.416,6.403
31668,13.802,0.129,4.411,2.634,9.609,6.551
31669,14.142,0.134,4.555,2.749,10.489,6.621
31670,14.575,0.132,4.717,2.836,11.369,6.809
31671,14.65,0.131,4.709,2.987,11.443,6.751
31672,14.371,0.13,4.632,2.909,27.68,6.482
31673,14.018,0.123,4.531,2.916,27.583,6.237
31674,14.093,0.123,4.515,2.978,27.138,6.267
31675,14.117,0.127,4.576,3.008,26.469,6.202
31676,14.185,0.134,4.552,3.038,27.922,6.258
31677,14.115,0.13,4.537,3.119,30.839,6.124
31678,14.403,0.131,4.661,3.151,32.157,6.252
31679,14.458,0.136,4.71,3.129,32.411,6.274
31680,14.415,0.137,4.713,3.048,33.321,6.31
31681,14.426,0.139,4.653,3.052,33.397,6.385
31682,14.755,0.143,4.825,3.172,30.333,6.426
31683,14.392,0.14,4.638,3.019,29.461,6.413
31684,14.328,0.144,4.596,3.099,29.855,6.309
31685,14.395,0.143,4.643,3.022,28.688,6.412
31686,14.432,0.149,4.607,2.999,30.645,6.502
31687,14.366,0.151,4.619,2.939,31.759,6.478
31688,14.083,0.154,4.502,2.911,33.372,6.335
31689,14.133,0.153,4.496,3.051,32.204,6.252
31690,13.537,0.142,4.352,3.027,31.155,5.835
31691,12.491,0.112,3.775,2.953,27.886,5.484
31692,12.762,0.114,3.966,3.047,33.086,5.456
31693,12.449,0.116,3.718,3.094,32.066,5.335
31694,11.983,0.123,3.266,3.186,33.251,5.209
31695,12.102,0.121,3.344,3.247,33.311,5.181
31696,12.05,0.127,3.289,3.265,34.888,5.146
31697,11.68,0.129,2.845,3.326,33.556,5.16
31698,11.321,0.129,2.587,3.295,30.851,5.119
31699,11.131,0.131,2.494,3.221,30.01,5.091
31700,11.347,0.128,2.362,3.535,26.847,5.112
31701,11.069,0.128,2.023,3.594,26.82,5.086
31702,9.89,0.126,1.643,3.557,26.517,4.357
31703,10.459,0.132,1.835,3.569,26.971,4.721
31704,10.535,0.13,1.7,3.707,26.971,4.798
32118,5.15,0.124,0.688,1.123,3.13,3.099
32119,5.078,0.113,0.702,1.115,3.276,3.031
32120,5.074,0.114,0.702,1.14,2.979,2.998
32121,5.02,0.117,0.663,1.145,2.946,2.974
32122,5.111,0.128,0.683,1.158,3.254,3.025
32123,5.02,0.116,0.693,1.177,3.228,2.915
32124,5.114,0.12,0.708,1.234,3.234,2.92
32125,5.255,0.127,0.735,1.227,3.465,3.027
32126,5.314,0.129,0.762,1.233,3.372,3.046
32127,5.36,0.133,0.751,1.286,3.274,3.064
32128,5.484,0.137,0.794,1.385,3.375,3.041
32129,5.471,0.132,0.792,1.349,2.861,3.082
32130,5.455,0.136,0.791,1.416,2.941,3.001
32131,5.621,0.135,0.823,1.473,2.942,3.081
32132,5.535,0.138,0.751,1.462,3.09,3.078
32133,5.597,0.144,0.783,1.463,2.994,3.1
32134,5.596,0.151,0.781,1.516,2.951,3.04
32135,5.659,0.156,0.771,1.569,2.85,3.052
32136,5.506,0.15,0.712,1.547,2.719,2.983
32137,5.228,0.135,0.615,1.522,2.257,2.856
32138,5.23,0.132,0.664,1.538,2.25,2.799
32139,5.319,0.134,0.644,1.616,2.426,2.82
32140,5.326,0.139,0.584,1.626,2.539,2.861
32141,5.252,0.131,0.576,1.663,2.463,2.763
32142,5.141,0.133,0.559,1.657,2.504,2.669
32143,5.111,0.137,0.543,1.683,2.319,2.63
32144,4.977,0.14,0.533,1.642,2.275,2.557
32145,4.887,0.144,0.523,1.608,2.206,2.513
32146,4.897,0.142,0.469,1.75,2.161,2.433
32147,4.871,0.135,0.454,1.713,2.143,2.462
32148,4.41,0.133,0.359,1.74,2.045,2.06
32149,4.569,0.144,0.327,1.785,2.135,2.188
32150,4.741,0.14,0.306,1.809,2.135,2.369
32655,8.252,0.15,0.869,1.768,1.023,4.773
32656,7.851,0.139,0.765,1.836,0.932,4.562
32657,8.024,0.152,0.768,1.944,0.975,4.606
32658,8.334,0.194,0.858,2.021,0.948,4.667
32659,8.728,0.195,0.938,2.172,0.96,4.812
32660,8.822,0.201,0.949,2.155,0.917,4.888
32661,9.477,0.197,0.944,2.308,0.959,5.336
32662,9.449,0.209,0.956,2.394,0.973,5.229
32663,9.436,0.203,0.996,2.224,0.898,5.357
32664,9.545,0.2,0.986,2.154,0.792,5.439
32665,9.376,0.198,0.962,2.457,0.754,4.973
32666,9.636,0.189,0.872,2.686,0.877,5.166
32667,9.376,0.193,0.756,2.71,0.715,5.136
32668,9.616,0.198,0.719,2.851,0.54,5.339
32669,9.633,0.156,0.799,2.959,0.51,5.234
32670,9.357,0.169,0.717,2.903,0.523,5.111
32671,9.406,0.173,0.589,2.917,0.535,5.306
32672,9.68,0.184,0.66,2.955,0.5,5.177
32673,9.368,0.175,0.677,2.954,0.567,4.951
32674,8.921,0.174,0.481,3.062,0.498,4.791
32675,9.33,0.154,0.624,3.076,0.721,5.013
32676,9.033,0.151,0.646,2.899,0.62,4.904
32677,8.812,0.145,0.632,2.805,0.592,4.834
32678,8.762,0.144,0.638,2.736,0.627,4.827
32679,8.75,0.142,0.676,2.85,0.644,4.687
32680,8.765,0.129,0.647,2.987,0.573,4.6
32681,8.532,0.131,0.664,2.892,0.556,4.462
32682,8.369,0.145,0.678,2.934,0.53,4.303
32683,8.359,0.137,0.651,2.882,0.551,4.388
32684,8.001,0.135,0.65,2.81,0.565,4.122
32685,7.664,0.135,0.657,2.658,0.537,3.96
32686,7.594,0.129,0.673,2.478,0.53,4.082
32687,7.509,0.135,0.676,2.375,0.567,4.074
33272,11.676,0.15,5.547,1.575,2.727,4.01
33273,11.553,0.137,5.602,1.516,2.76,3.916
33274,11.633,0.127,5.671,1.553,2.95,3.888
33275,11.619,0.128,5.594,1.583,3.179,3.925
33276,11.631,0.144,5.552,1.589,3.613,3.955
33277,11.85,0.139,5.616,1.642,3.571,4.065
33278,11.953,0.131,5.691,1.654,3.639,4.097
33279,12.122,0.128,5.849,1.711,3.911,4.051
33280,12.387,0.133,6.08,1.725,4.14,4.035
33281,12.56,0.134,6.178,1.805,4.388,4.04
33282,12.615,0.137,6.174,1.822,4.129,4.064
33283,12.746,0.132,6.246,1.912,4.274,4.036
33284,12.715,0.129,6.18,1.902,4.654,4.083
33285,12.803,0.13,6.284,1.803,4.656,4.2
33286,13.016,0.125,6.396,1.82,4.676,4.292
33287,12.966,0.13,6.274,1.86,4.709,4.31
33288,12.925,0.133,6.272,1.866,4.567,4.264
33289,12.916,0.137,6.068,2.002,4.829,4.312
33290,12.778,0.13,6.024,1.971,4.804,4.251
33291,12.535,0.125,5.896,1.97,4.53,4.157
33292,12.277,0.115,5.629,1.991,4.736,4.149
33293,12.037,0.111,5.314,1.997,4.787,4.237
33294,11.929,0.11,5.179,2.012,4.597,4.254
33295,11.536,0.103,4.738,2.024,4.238,4.303
33296,11.248,0.098,4.449,2.028,4.738,4.273
33297,11.272,0.095,4.528,2.012,4.757,4.211
33298,11.28,0.087,4.572,2.031,4.611,4.141
33299,11.201,0.086,4.443,2.048,4.537,4.13
33300,11.082,0.082,4.204,2.064,4.543,4.2
33301,10.93,0.082,4.039,2.09,4.559,4.12
33302,10.243,0.075,3.777,2.136,4.343,3.803
33303,9.883,0.075,3.618,2.007,4.555,3.761
33304,9.852,0.074,3.379,2.047,4.555,3.934
35526,9.895,0.143,7.941,0.492,5.737,1.056
35527,9.789,0.142,7.941,0.449,4.577,1.063
35528,9.529,0.145,7.682,0.434,4.362,1.08
35529,9.53,0.134,7.651,0.439,4.42,1.12
35530,9.387,0.173,7.392,0.472,4.388,1.19
35531,9.443,0.174,7.358,0.497,4.816,1.212
35532,9.825,0.162,7.635,0.516,4.765,1.323
35533,9.564,0.176,7.228,0.547,5.102,1.398
35534,8.835,0.165,6.56,0.537,5.021,1.371
35535,8.585,0.161,6.249,0.533,4.723,1.427
35536,8.245,0.159,5.943,0.567,4.722,1.365
35537,8.109,0.128,5.849,0.585,4.468,1.356
35538,7.921,0.121,5.69,0.58,4.446,1.337
35539,8.258,0.118,5.862,0.643,4.632,1.423
35540,8.389,0.131,5.867,0.688,4.846,1.507
35541,8.367,0.131,5.771,0.71,4.496,1.55
35542,8.731,0.155,6.027,0.717,4.393,1.616
35543,8.72,0.183,5.911,0.725,4.441,1.693
35544,8.555,0.174,5.723,0.73,4.38,1.721
35545,8.197,0.149,5.423,0.707,3.965,1.74
35546,8.659,0.161,5.724,0.755,4.282,1.818
35547,8.638,0.191,5.654,0.759,4.702,1.807
35548,8.439,0.165,5.541,0.791,4.271,1.721
35549,8.338,0.152,5.551,0.798,4.278,1.602
35550,8.024,0.167,5.261,0.764,4.411,1.595
35551,8.111,0.164,5.23,0.795,4.385,1.685
35552,8.397,0.169,5.245,0.841,4.801,1.898
35553,8.74,0.182,5.281,0.886,4.759,2.147
35554,8.725,0.199,5.157,0.89,4.837,2.227
35555,8.253,0.2,4.618,0.922,4.868,2.274
35556,7.87,0.2,4.273,0.957,5.076,2.199
35557,8.643,0.192,4.806,1.039,5.562,2.348
35558,8.107,0.196,4.401,0.824,5.562,2.44
35699,4.525,0.317,1.098,0.1,0.522,2.952
35700,4.716,0.328,1.16,0.094,0.543,3.074
35701,5.103,0.314,1.19,0.058,0.558,3.478
35702,4.947,0.32,1.254,0.055,0.566,3.254
35703,5.012,0.329,1.315,0.043,0.606,3.236
35704,5.419,0.344,1.451,0.077,0.665,3.439
35705,5.131,0.336,1.342,0.091,0.669,3.26
35706,5.392,0.352,1.354,0.111,0.731,3.456
35707,5.813,0.347,1.208,0.24,0.782,3.897
35708,6.531,0.374,1.456,0.631,0.824,3.953
35709,6.37,0.37,1.457,0.555,0.871,3.87
35710,6.282,0.35,1.225,0.605,0.891,3.976
35711,6.669,0.375,1.314,0.706,0.876,4.15
35712,6.154,0.345,1.239,0.699,0.837,3.747
35713,6.409,0.381,1.246,0.87,0.878,3.782
35714,6.617,0.388,1.241,0.913,0.853,3.94
35715,6.15,0.379,1.239,0.861,0.832,3.54
35716,5.902,0.394,1.082,0.922,0.894,3.367
35717,5.673,0.379,0.93,0.991,0.933,3.238
35718,5.395,0.304,1.014,0.917,0.82,3.038
35719,4.999,0.319,0.607,0.989,0.752,2.96
35720,4.897,0.266,0.817,0.994,0.819,2.693
35721,4.742,0.242,1.058,0.863,0.92,2.433
35722,4.597,0.269,0.974,0.774,0.842,2.386
35723,4.601,0.297,0.991,0.733,0.839,2.401
35724,5.036,0.282,1.212,0.878,0.859,2.472
35725,4.874,0.222,1.047,0.949,0.828,2.473
35726,5.346,0.246,1.202,1.193,0.822,2.515
35727,4.993,0.219,1.008,1.099,0.89,2.478
35728,4.616,0.216,0.488,1.177,0.866,2.539
35729,4.049,0.224,0.235,1.164,0.778,2.252
35730,3.881,0.205,0.101,1.099,0.82,2.305
35731,4.051,0.205,0.101,1.043,0.82,2.53
36216,7.729,0.195,2.402,3.087,1.705,1.919
36217,6.226,0.14,1.881,2.509,1.293,1.595
36218,5.79,0.127,1.982,2.011,1.082,1.576
36219,5.4,0.125,1.783,1.921,0.964,1.483
36220,5.342,0.122,1.811,1.878,0.941,1.442
36221,5.579,0.14,1.874,1.959,1.011,1.513
36222,5.761,0.143,1.868,1.949,1.012,1.709
36223,5.301,0.135,1.669,1.614,0.955,1.792
36224,4.732,0.132,1.422,1.517,1.129,1.545
36225,4.039,0.12,1.184,1.385,0.983,1.246
36226,4.258,0.121,1.348,1.413,1.039,1.285
36227,4.541,0.127,1.464,1.36,1.185,1.51
36228,4.586,0.122,1.522,1.432,1.148,1.423
36229,4.833,0.123,1.671,1.573,1.171,1.369
36230,4.851,0.141,1.684,1.503,1.248,1.423
36231,4.828,0.151,1.709,1.449,1.081,1.414
36232,4.988,0.175,1.829,1.503,1.233,1.353
36233,5.255,0.195,2.033,1.483,1.507,1.411
36234,5.238,0.201,1.982,1.51,1.382,1.41
36235,4.323,0.151,1.589,1.234,1.017,1.246
36236,4.234,0.137,1.452,1.353,1.088,1.182
36237,4.59,0.153,1.691,1.403,1.109,1.245
36238,4.525,0.156,1.579,1.398,1.047,1.299
36239,3.955,0.134,1.267,1.246,1.011,1.216
36240,3.957,0.147,1.254,1.198,1.242,1.255
36241,3.92,0.168,1.265,1.171,1.155,1.219
36242,3.875,0.161,1.119,1.17,1.216,1.322
36243,4.043,0.168,1.11,1.23,1.305,1.43
36244,4.094,0.179,1.056,1.285,1.314,1.463
36245,3.938,0.196,0.932,1.177,1.176,1.529
36246,3.808,0.201,0.734,1.285,0.87,1.502
36247,3.994,0.205,0.805,1.284,1.01,1.608
36248,3.74,0.189,0.791,1.052,1.01,1.617
36398,10.903,0.112,3.225,4.709,17.687,2.604
36399,10.705,0.086,3.221,4.721,15.372,2.438
36400,10.019,0.083,2.785,4.524,13.943,2.386
36401,9.922,0.081,2.713,4.56,11.88,2.34
36402,10.141,0.089,2.766,4.66,12.937,2.378
36403,10.073,0.103,2.908,4.642,14.11,2.162
36404,10.364,0.108,3.046,4.74,13.438,2.211
39723,11.684,0.278,6.392,2.326,1.295,2.437
39724,10.092,0.197,5.472,2.261,0.928,1.981
39725,9.221,0.246,4.882,2.267,0.738,1.68
39726,8.71,0.193,4.643,2.171,0.828,1.542
39727,8.196,0.209,4.163,2.099,0.836,1.564
39728,8.251,0.216,3.999,2.318,0.954,1.536
39729,8.216,0.205,3.878,2.433,0.943,1.52
39730,8.218,0.226,3.825,2.477,0.911,1.515
39731,8.16,0.339,3.575,2.543,1.036,1.505
39732,8.008,0.34,3.426,2.58,1.079,1.456
39733,7.651,0.221,3.305,2.539,1.074,1.382
39734,8.04,0.225,3.42,2.68,1.158,1.495
39735,7.81,0.217,3.348,2.514,1.214,1.5
39736,7.871,0.171,3.523,2.446,1.135,1.515
39737,7.961,0.226,3.533,2.401,1.274,1.559
39738,7.961,0.234,3.302,2.445,1.286,1.736
39739,7.916,0.258,3.489,2.276,1.212,1.663
39740,7.618,0.276,3.265,2.116,1.224,1.729
39741,7.686,0.298,3.17,2.187,1.274,1.79
39742,6.982,0.225,2.974,1.932,0.946,1.672
39743,7.117,0.159,2.974,2.048,1.089,1.731
39744,7.031,0.234,3.018,1.929,1.113,1.641
39745,6.639,0.203,2.695,1.86,1.032,1.687
39746,6.569,0.21,2.637,1.89,0.907,1.661
39747,6.211,0.234,2.599,1.566,0.926,1.636
39748,6.355,0.241,2.566,1.606,0.855,1.78
39749,6.428,0.247,2.546,1.629,0.849,1.846
39750,6.639,0.251,2.626,1.726,0.913,1.864
39751,6.629,0.247,2.608,1.718,0.937,1.879
39752,6.193,0.257,2.16,1.718,0.885,1.893
39753,5.699,0.264,1.825,1.702,0.784,1.762
39754,6.455,0.267,2.236,1.909,0.888,1.878
39755,6.052,0.257,1.979,1.843,0.888,1.813
39896,7.6,0.237,3.589,0.876,0.271,2.711
39897,7.023,0.209,3.196,0.888,0.214,2.574
39898,6.971,0.193,3.424,0.742,0.173,2.465
39899,7.153,0.145,3.16,0.741,0.172,2.966
39900,7.349,0.192,2.995,0.763,0.192,3.25
39901,7.711,0.204,3.049,0.769,0.169,3.545
39902,8.037,0.219,2.808,0.821,0.155,4.053
39903,8.296,0.222,3.026,0.787,0.156,4.12
39904,8.067,0.231,3.109,0.818,0.154,3.772
39905,7.76,0.234,2.801,0.841,0.152,3.749
39906,7.586,0.247,2.932,0.859,0.129,3.423
39907,8.223,0.255,3.273,0.883,0.139,3.675
39908,8.35,0.224,3.477,0.864,0.13,3.648
39909,8.179,0.227,3.259,0.947,0.135,3.598
39910,8.366,0.237,3.348,0.951,0.132,3.683
39911,8.446,0.243,3.317,0.962,0.167,3.759
39912,8.531,0.254,3.326,0.945,0.18,3.828
39913,8.572,0.268,3.431,0.932,0.179,3.76
39914,8.986,0.292,3.284,0.923,0.172,4.319
39915,7.922,0.206,3.002,0.873,0.112,3.701
39916,8.001,0.174,3.054,0.915,0.138,3.706
39917,7.92,0.148,3.063,0.848,0.133,3.707
39918,7.616,0.153,2.896,0.814,0.117,3.605
39919,7.3,0.189,2.77,0.793,0.102,3.425
39920,6.536,0.202,2.171,0.717,0.099,3.345
39921,6.558,0.176,2.218,0.759,0.101,3.3
39922,6.918,0.164,2.375,0.806,0.103,3.461
39923,6.966,0.195,2.338,0.836,0.101,3.482
39924,6.895,0.214,2.276,0.817,0.106,3.476
39925,6.645,0.226,2.144,0.83,0.105,3.336
39926,6.07,0.224,2.074,0.826,0.104,2.838
39927,6.162,0.221,1.883,0.87,0.119,3.078
39928,5.998,0.221,1.412,0.87,0.119,3.386
40588,2.017,0.072,0.224,0.361,3.688,1.253
40589,2.006,0.076,0.226,0.37,3.755,1.231
40590,2.01,0.071,0.219,0.293,3.948,1.324
40591,2.087,0.074,0.221,0.333,4.241,1.345
40592,2.061,0.078,0.227,0.369,4.098,1.314
40593,2.129,0.082,0.232,0.416,4.104,1.323
40594,2.187,0.087,0.237,0.455,4.248,1.335
40595,2.294,0.094,0.246,0.482,4.338,1.392
40596,2.434,0.096,0.244,0.526,4.141,1.489
40597,2.358,0.091,0.228,0.451,4.352,1.51
40598,2.323,0.089,0.226,0.477,5.008,1.451
40599,2.233,0.084,0.205,0.468,4.811,1.397
40600,2.283,0.077,0.199,0.503,4.956,1.432
40601,2.256,0.076,0.21,0.51,5.064,1.388
40602,2.328,0.075,0.209,0.568,5.505,1.407
40603,2.367,0.082,0.21,0.549,5.356,1.45
40604,2.414,0.092,0.213,0.557,5.41,1.482
40605,2.479,0.095,0.22,0.553,5.666,1.538
40606,2.566,0.1,0.235,0.576,5.69,1.579
40607,2.472,0.098,0.195,0.552,5.06,1.541
40608,2.729,0.103,0.241,0.615,5.95,1.691
40609,2.744,0.109,0.266,0.616,6.337,1.663
40610,2.853,0.116,0.261,0.654,6.403,1.718
40611,2.984,0.122,0.291,0.658,6.486,1.802
40612,3.004,0.122,0.295,0.682,6.278,1.788
40613,2.89,0.117,0.302,0.677,6.392,1.68
40614,2.762,0.105,0.284,0.66,6.392,1.604
40615,2.695,0.099,0.277,0.646,6.392,1.574
40616,2.514,0.096,0.268,0.621,6.392,1.427
40617,2.493,0.096,0.271,0.604,6.392,1.413
40618,2.229,0.096,0.242,0.532,6.392,1.254
40619,2.502,0.108,0.262,0.601,6.392,1.428
40620,2.487,0.107,0.218,0.571,6.392,1.485
40934,5.678,0.36,2.138,0.146,2.95,2.968
41300,5.927,0.316,2.054,0.31,3.001,3.125
41301,6.16,0.3,2.113,0.345,2.945,3.282
41302,6.342,0.266,2.185,0.372,2.858,3.399
41303,6.089,0.251,2.092,0.359,2.872,3.267
41304,6.367,0.29,2.093,0.384,3.14,3.468
41305,6.682,0.311,2.157,0.474,3.324,3.61
41306,6.338,0.303,1.817,0.532,3.351,3.558
41307,6.616,0.317,1.875,0.684,3.497,3.607
41308,6.803,0.342,1.82,0.705,3.708,3.796
41309,7.352,0.356,2.06,0.802,3.951,3.988
41310,7.611,0.361,2.168,0.912,4.268,4.012
41311,7.611,0.367,1.98,0.976,4.29,4.135
41312,8.003,0.374,2.192,1.086,4.486,4.193
41313,7.964,0.38,1.996,1.214,4.573,4.221
41314,8.217,0.379,2.034,1.367,4.784,4.274
41315,8.432,0.384,2.009,1.577,4.822,4.298
41316,8.096,0.377,1.755,1.666,5.086,4.129
41317,8.12,0.372,1.87,1.671,4.817,4.043
41318,7.307,0.313,1.291,1.795,4.13,3.768
41319,6.395,0.246,0.972,1.589,3.047,3.473
41320,6.075,0.24,0.781,1.581,3.148,3.357
41321,6.073,0.204,1.16,1.456,3.281,3.125
41322,5.947,0.187,1.353,1.392,2.92,2.88
41323,5.406,0.164,1.056,1.267,2.872,2.775
41324,5.47,0.191,1.165,1.168,2.925,2.796
41325,5.832,0.198,1.332,1.219,3.041,2.937
41326,5.587,0.203,0.983,1.241,2.875,3.018
41327,5.873,0.203,1.151,1.342,3.037,3.03
41328,5.74,0.207,1.028,1.322,3.091,3.037
41329,5.318,0.192,0.503,1.51,3.02,2.971
41330,4.51,0.173,0.34,1.357,2.685,2.509
41331,4.849,0.178,0.368,1.435,2.9,2.733
41332,5.164,0.17,0.48,1.38,2.9,3.0
42199,6.728,0.149,1.374,0.186,0.574,4.912
42200,6.718,0.132,1.377,0.2,0.537,4.914
42201,6.663,0.126,1.284,0.231,0.474,4.931
42202,6.629,0.126,1.271,0.238,0.515,4.895
42203,6.88,0.127,1.287,0.232,0.612,5.129
42204,6.794,0.148,1.281,0.235,0.564,5.027
42205,7.214,0.139,1.41,0.253,0.587,5.308
42206,6.629,0.126,1.224,0.256,0.601,4.914
42207,6.66,0.128,1.258,0.253,0.656,4.906
42208,6.326,0.129,1.135,0.245,0.663,4.699
42209,6.192,0.145,1.139,0.234,0.639,4.56
42210,6.276,0.15,1.23,0.269,0.619,4.516
42211,6.351,0.143,1.279,0.274,0.681,4.537
42212,6.393,0.135,1.289,0.253,0.666,4.598
42213,6.277,0.143,1.312,0.244,0.66,4.462
42214,5.952,0.145,1.21,0.206,0.748,4.268
42215,5.902,0.158,1.175,0.225,0.673,4.181
42216,5.783,0.146,1.176,0.236,0.748,4.051
42217,5.511,0.151,1.121,0.205,0.702,3.865
42218,5.079,0.136,0.793,0.267,0.549,3.731
42219,5.662,0.141,1.1,0.366,0.701,3.893
42220,5.198,0.144,1.0,0.287,0.699,3.605
42221,4.888,0.155,0.904,0.246,0.666,3.425
42222,4.685,0.145,0.906,0.244,0.66,3.248
42223,4.46,0.144,0.851,0.211,0.574,3.117
42224,4.408,0.156,0.814,0.2,0.581,3.096
42225,4.362,0.156,0.807,0.227,0.585,3.048
42226,4.221,0.148,0.827,0.18,0.627,2.925
42227,4.137,0.158,0.796,0.186,0.55,2.861
42228,3.994,0.132,0.79,0.173,0.522,2.795
42229,3.538,0.123,0.641,0.139,0.532,2.541
42230,3.681,0.12,0.668,0.181,0.519,2.661
42231,3.607,0.119,0.663,0.135,0.519,2.64
42372,6.58,0.385,0.219,0.578,0.262,5.356
42373,6.789,0.331,0.178,0.638,0.255,5.599
42374,6.695,0.307,0.13,0.661,0.252,5.555
42375,6.287,0.276,0.11,0.686,0.253,5.173
42376,6.103,0.302,0.111,0.67,0.245,4.979
42377,6.167,0.283,0.113,0.731,0.242,5.001
42378,6.238,0.253,0.081,0.79,0.236,5.073
42379,6.072,0.227,0.071,0.763,0.227,4.975
42380,6.276,0.226,0.062,0.783,0.227,5.167
42381,6.222,0.225,0.063,0.809,0.229,5.087
42382,6.073,0.24,0.09,0.802,0.233,4.903
42383,6.24,0.243,0.09,0.83,0.233,5.038
42384,5.973,0.232,0.082,0.81,0.222,4.813
42385,6.09,0.226,0.082,0.85,0.223,4.897
42386,6.128,0.237,0.08,0.873,0.245,4.899
42387,6.163,0.249,0.085,0.89,0.257,4.896
42388,6.069,0.248,0.091,0.861,0.248,4.83
42389,5.75,0.25,0.098,0.832,0.249,4.531
42390,5.853,0.243,0.089,0.875,0.233,4.609
42391,5.628,0.239,0.082,0.828,0.196,4.448
42392,5.758,0.25,0.083,0.915,0.221,4.476
42393,5.18,0.243,0.077,0.804,0.213,4.022
42394,5.284,0.226,0.07,0.87,0.212,4.086
42395,5.339,0.227,0.072,0.904,0.192,4.107
42396,4.791,0.23,0.074,0.776,0.197,3.684
42397,4.676,0.207,0.068,0.819,0.181,3.558
42398,4.679,0.211,0.063,0.851,0.176,3.53
42399,4.517,0.208,0.06,0.838,0.176,3.386
42400,4.33,0.204,0.056,0.785,0.175,3.261
42401,4.283,0.202,0.05,0.802,0.169,3.205
42402,3.963,0.194,0.048,0.77,0.163,2.929
42403,4.118,0.199,0.048,0.834,0.171,3.014
42404,4.048,0.198,0.048,0.702,0.171,3.078
42727,10.223,0.398,4.977,0.591,1.662,4.183
42728,10.289,0.407,5.193,0.662,0.888,3.987
