,co2_per_capita,cement_co2_per_capita,coal_co2_per_capita,gas_co2_per_capita,other_industry_co2,oil_co2_per_capita
9076,1.32,0.021,0.98,0.021,36.52,0.257
9077,1.423,0.024,1.059,0.025,36.415,0.273
9078,1.563,0.028,1.17,0.028,37.506,0.295
9079,1.576,0.031,1.185,0.029,38.527,0.288
9080,1.521,0.033,1.143,0.028,35.586,0.278
9081,1.481,0.034,1.128,0.024,34.129,0.257
9082,1.585,0.038,1.232,0.023,35.625,0.254
9083,1.646,0.043,1.284,0.023,38.366,0.256
9084,1.767,0.048,1.393,0.023,41.674,0.26
9085,1.885,0.056,1.494,0.023,44.857,0.268
10572,4.714,0.223,0.612,1.0,0.211,2.716
10573,3.506,0.145,0.394,0.843,0.157,1.972
10574,3.411,0.172,0.311,0.899,0.104,1.885
10575,3.507,0.142,0.252,0.987,0.112,1.937
10576,3.33,0.173,0.167,0.911,0.12,1.908
10577,3.498,0.13,0.178,0.8,0.117,2.192
10578,3.645,0.143,0.143,0.906,0.144,2.251
10579,3.939,0.17,0.227,0.965,0.147,2.384
10580,4.08,0.185,0.218,0.923,0.153,2.575
10581,4.348,0.245,0.193,0.971,0.14,2.764
10582,4.322,0.276,0.395,1.003,0.169,2.455
10583,4.611,0.32,0.423,1.076,0.201,2.578
10584,4.882,0.318,0.517,1.121,0.222,2.704
10585,5.203,0.32,0.583,1.099,0.225,2.988
10586,5.15,0.34,0.623,1.183,0.238,2.776
10587,5.269,0.348,0.62,1.155,0.282,2.911
10588,5.33,0.37,0.578,1.145,0.321,2.99
10589,5.643,0.377,0.63,1.333,0.322,3.065
10590,5.37,0.357,0.648,1.296,0.321,2.851
10591,4.976,0.285,0.463,1.199,0.22,2.848
10592,4.811,0.277,0.627,1.308,0.215,2.427
10593,4.745,0.249,0.642,1.279,0.195,2.403
10594,4.405,0.239,0.573,1.199,0.153,2.249
10595,4.278,0.265,0.622,1.14,0.144,2.113
10596,4.127,0.286,0.6,1.005,0.149,2.099
10597,4.189,0.275,0.558,1.048,0.149,2.214
10598,4.287,0.255,0.606,1.12,0.136,2.218
10599,4.471,0.307,0.37,1.296,0.149,2.388
10600,4.26,0.291,0.348,1.212,0.152,2.304
10601,4.324,0.287,0.406,1.27,0.143,2.257
10602,4.118,0.296,0.348,1.347,0.153,2.019
10603,4.288,0.297,0.407,1.32,0.186,2.148
10604,4.349,0.294,0.41,1.197,0.186,2.331
11271,12.238,0.201,8.151,1.795,1.626,1.898
11272,11.384,0.192,7.378,1.803,1.682,1.817
11274,12.428,0.159,8.289,1.887,1.803,1.885
11275,12.109,0.137,8.075,1.811,1.765,1.881
11276,12.448,0.145,8.194,1.851,1.763,2.055
11277,12.503,0.159,8.129,1.863,1.784,2.148
11278,12.227,0.158,7.841,1.825,1.788,2.198
11279,12.281,0.17,7.946,1.787,1.779,2.173
11280,12.419,0.198,8.089,1.689,1.867,2.233
11281,11.847,0.192,7.579,1.667,1.778,2.209
11282,11.035,0.15,7.032,1.566,1.577,2.111
11283,11.227,0.14,7.124,1.758,1.644,2.022
11284,10.975,0.159,7.026,1.603,1.776,1.993
11285,10.589,0.144,6.733,1.582,1.697,1.943
11286,10.151,0.127,6.36,1.6,1.723,1.881
11287,9.913,0.141,6.171,1.437,1.725,1.98
11288,9.979,0.148,6.112,1.512,1.697,2.028
11289,10.133,0.161,6.148,1.616,1.698,2.031
11290,10.234,0.164,6.106,1.682,1.736,2.104
11291,10.096,0.177,6.035,1.58,1.801,2.123
11292,9.588,0.188,5.454,1.648,1.658,2.134
11293,8.707,0.18,4.722,1.655,1.492,2.004
11294,9.197,0.186,4.898,1.812,1.632,2.14
11295,9.336,0.187,5.36,1.485,1.632,2.144
11616,10.395,0.151,4.666,0.846,0.819,4.507
11617,12.427,0.192,6.314,0.953,0.689,4.708
11618,11.27,0.218,5.243,0.998,0.599,4.564
11619,11.663,0.22,5.478,1.127,0.549,4.62
11620,12.404,0.224,5.865,1.255,0.643,4.827
11621,11.777,0.237,4.89,1.447,0.759,4.971
11622,14.25,0.25,6.685,1.695,0.68,5.397
11623,12.4,0.249,4.955,1.777,0.76,5.143
11624,11.557,0.262,4.193,1.922,0.527,4.981
11625,11.025,0.255,3.51,2.013,0.55,4.936
11626,10.169,0.259,2.932,1.992,0.535,4.75
11627,10.427,0.259,3.089,2.071,0.467,4.777
11628,10.329,0.263,3.075,2.063,0.51,4.707
11629,11.238,0.246,4.183,2.078,0.463,4.521
11630,10.174,0.269,3.191,2.06,0.382,4.445
11631,9.48,0.251,2.686,1.966,0.446,4.394
11632,10.902,0.256,4.032,1.994,0.443,4.44
11633,9.984,0.257,3.362,1.777,0.43,4.411
11634,9.315,0.21,2.932,1.786,0.437,4.237
11635,8.84,0.138,2.856,1.703,0.334,4.034
